typology,location,time,mean,median,min,max,area_m2_bin_0_-inf_15.0,percent_bin_0_-inf_15.0,area_m2_bin_1_15.0_20.0,percent_bin_1_15.0_20.0,area_m2_bin_2_20.0_25.0,percent_bin_2_20.0_25.0,area_m2_bin_3_25.0_30.0,percent_bin_3_25.0_30.0,area_m2_bin_4_30.0_35.0,percent_bin_4_30.0_35.0,area_m2_bin_5_35.0_40.0,percent_bin_5_35.0_40.0,area_m2_bin_6_40.0_45.0,percent_bin_6_40.0_45.0,area_m2_bin_7_45.0_50.0,percent_bin_7_45.0_50.0,area_m2_bin_8_50.0_55.0,percent_bin_8_50.0_55.0,area_m2_bin_9_55.0_60.0,percent_bin_9_55.0_60.0,area_m2_bin_10_60.0_inf,percent_bin_10_60.0_inf
historisch,0,morning,34.72238,32.57276,23.133615,54.33617,0.0,0.0,0.0,0.0,3585.75,1.9031304857805913,63815.5,33.869964028538334,40727.5,21.616048765147884,33243.25,17.64379628290473,25016.0,13.277197861615358,15568.5,8.26295390584261,6456.75,3.4269086701704894,0.0,0.0,0.0,0.0
historisch,0,afternoon,44.62514,43.633774,28.831108,63.302334,0.0,0.0,0.0,0.0,0.0,0.0,148.75,0.07894880004458285,24254.25,12.872900393151756,46709.25,24.790852023411304,31854.75,16.906852357782693,29139.25,15.465605524027637,27154.0,14.411937589314977,24253.25,12.872369644916162,4899.75,2.6005336673508896
historisch,0,evening,28.11395,26.93658,24.920044,46.468235,0.0,0.0,0.0,0.0,11.75,0.006236291768227553,165201.5,87.68040464245482,9740.0,5.169487814683946,8538.75,4.531926496676853,4518.75,2.398318589589639,402.5,0.21362616482651833,0.0,0.0,0.0,0.0,0.0,0.0
historisch,0,12:00,48.710594,54.291267,28.953161,67.08592,0.0,0.0,0.0,0.0,0.0,0.0,109.75,0.05824961885642332,10872.25,5.770427504435065,60324.25,32.01698925102136,18661.75,9.904690885593237,1158.75,0.6150045179943555,5417.75,2.875461253388496,60445.25,32.081209787528216,31423.5,16.67796718118285
historisch,1,morning,34.20358,31.83834,22.91446,55.074142,0.0,0.0,0.0,0.0,5020.0,3.297706714314806,56563.75,37.15750162586138,30758.25,20.205515447325375,22016.5,14.462940214285243,19782.5,12.995395035046345,12904.25,8.476978459800167,5181.25,3.4036340465226274,0.5,0.0003284568440552596,0.0,0.0
historisch,1,afternoon,44.707138,43.611294,28.686829,63.89242,0.0,0.0,0.0,0.0,0.0,0.0,349.25,0.22942710557259882,25820.0,16.961511427013605,33269.75,21.855354175014945,22729.5,14.931319673908044,21529.0,14.142694791331367,21991.5,14.446517372082482,18123.5,11.905575226470994,8414.5,5.527600228605963
historisch,1,evening,27.001179,25.96767,24.258127,41.223576,0.0,0.0,0.0,0.0,13748.0,9.031249384143418,117122.0,76.93904497888022,15441.75,10.143896943380609,5264.5,3.458322111057828,650.75,0.4274865825379203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
historisch,1,12:00,47.728874,42.78669,28.61553,66.91291,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.13138273762210384,15688.5,10.30599039592188,49411.25,32.45892647165089,14083.25,9.25147969808247,1303.75,0.8564512208740894,5322.0,3.496094648124183,35640.75,23.412896529524986,30577.5,20.086778298199402
historisch,2,morning,34.591877,32.870575,22.908676,55.284992,0.0,0.0,0.0,0.0,5127.0,3.391355252234941,49364.25,32.65295660427905,31137.5,20.596513393108147,29069.0,19.228263278177785,17715.75,11.718432184470675,11529.25,7.626249764351413,7235.0,4.785733421088316,0.75,0.0004961022896774343,0.0,0.0
historisch,2,afternoon,44.732937,44.100998,28.684477,63.78297,0.0,0.0,0.0,0.0,0.0,0.0,546.0,0.3611624668851722,20103.0,13.297525772513948,31889.75,21.094103989654613,27496.0,18.187771409294314,25189.75,16.6622568685362,25083.25,16.591810343402006,18720.75,12.383209252638437,2150.0,1.4221598970753118
